,tweet_id,text,location_mentions
24,ID_1021728080820363266,Greek Prime Minister declares three days of mourning for 60 people killed in wildfires near Athens,"[{'text': 'Athens', 'type': 'City/town', 'start_offset': 92, 'end_offset': 98}]"
25,ID_1021714337235390464,"Wildfire kills at least 60 near Athens, families embrace as flames close in  #Greece #news","[{'text': 'Athens', 'type': 'City/town', 'start_offset': 32, 'end_offset': 38}, {'text': 'Greece', 'type': 'Country', 'start_offset': 78, 'end_offset': 84}]"
26,ID_1022473205968252928,὏9 Danger of Flooding is the New Threat in Fire Stricken Greece,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 57, 'end_offset': 63}]"
27,ID_1021777123982360576,"More than 50 people dead in #greece after #wildfires outside #athens This is not a natural catastrophe or accident. This is the result of austerity on firemen, natures exploitation by state and capital, the prioritization of financial debt against humans by all greek govts","[{'text': 'greece', 'type': 'Country', 'start_offset': 29, 'end_offset': 35}]"
28,ID_1023133732281229317,LIers and Hempstead officials joining forces to help victims of GREEK wildfires  #Greece #news,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 82, 'end_offset': 88}]"
29,ID_1022209811969187840,Looking for a way to help fire survivors in #Greece? Here are 4 ways you can help including making a donation to @IOCCRelief. Your support will help us respond by providing immediate basic needs.  #PrayForGreece #IOCCRelief #SupportForGreece #GreeceFires,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 45, 'end_offset': 51}]"
30,ID_1022481749647998978,The mayor of the municipality in Greece where more than 80 people have died in wildfires has admitted that mistakes and the scale of the fire was underestimated,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 33, 'end_offset': 39}]"
31,ID_1021853332179169281,"἞A἟A New @CopernicusEMS activation [#EMSR300]: Forest Fires in Attika, Greece ὑ7  #Wildfire in #Greece - #Copernicus #CEMS #RapidMapping #EUCivPro","[{'text': 'Attika', 'type': 'City/town', 'start_offset': 63, 'end_offset': 69}, {'text': 'Greece', 'type': 'Country', 'start_offset': 71, 'end_offset': 77}, {'text': 'Greece', 'type': 'Country', 'start_offset': 96, 'end_offset': 102}]"
32,ID_1022427934303428608,RT @amna_newseng: Nearly half of inspected houses in areas affected by #Greecefires found uninhabitable,[]
33,ID_1021767225185845248,"According to the Fire Department, the death toll in the wildfire near Athens has reached 74. #GreeceFires #AthensFires","[{'text': 'Athens', 'type': 'City/town', 'start_offset': 70, 'end_offset': 76}]"
34,ID_1022151113657774083,Wildfires in Greece: #Albanian government offers 100 thousand euros in aid #Albania #Balkans #AthensFires #Greecefires #PrayTogether4Greece #Mati,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 13, 'end_offset': 19}, {'text': 'Albanian', 'type': 'Country', 'start_offset': 22, 'end_offset': 30}, {'text': 'Albania', 'type': 'Country', 'start_offset': 76, 'end_offset': 83}]"
35,ID_1022127997153890306,:( Cars turned to molten metal as Greek wildfires wipe villages off the map,"[{'text': 'Greek', 'type': 'Country', 'start_offset': 34, 'end_offset': 39}]"
36,ID_1024023673294991360,Great piece by @maledictus on how Greeces migrants rescued locals during the #Greecefires. The rest of Europe might want to think about Attica’s example before shutting its doors to those in need of help. One day they might be helping you.  #migrants,"[{'text': 'Europe', 'type': 'Continent', 'start_offset': 103, 'end_offset': 109}]"
37,ID_1022129791682703361,Twins go missing in rescue attempt. Read my latest @TheTimes #greece,"[{'text': 'greece', 'type': 'Country', 'start_offset': 62, 'end_offset': 68}]"
38,ID_1022821515480510464,Charred Remains Making Greek Fire Victims Identification Difficult  #Greece #news,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 69, 'end_offset': 75}]"
39,ID_1026885826121281536,Greek Minister Thanks Diaspora for Greece Wildfire Relief Campaigns  #Greece #news,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 35, 'end_offset': 41}, {'text': 'Greece', 'type': 'Country', 'start_offset': 70, 'end_offset': 76}]"
40,ID_1021729048920301569,"#UPDATE 50 people die and 170 are reported injured in wildfires ravaging Athens region, as Greek authorities fear the toll may rise further","[{'text': 'Athens', 'type': 'City/town', 'start_offset': 73, 'end_offset': 79}, {'text': 'Greek', 'type': 'Country', 'start_offset': 91, 'end_offset': 96}]"
41,ID_1021855716750106624,"A close friend of mine in #Athens just told me a childhood friend of hers, his wife, 2 children & mother all died in last nights wildfires. Seriously this is how tragic this situation is. #Greecefires #AthensFires #Ellada #πυρκαγιες #Greece","[{'text': 'Athens', 'type': 'City/town', 'start_offset': 27, 'end_offset': 33}, {'text': 'Greece', 'type': 'Country', 'start_offset': 234, 'end_offset': 240}]"
42,ID_1022229379798257669,"#Greece #GreeceFires - list of veterinarians in Attica, Preveza, Corinthia offering free services for affected animals:  #πυρκαγιες #Αττικής #disasteranimals","[{'text': 'Greece', 'type': 'Country', 'start_offset': 1, 'end_offset': 7}, {'text': 'Attica', 'type': 'City/town', 'start_offset': 48, 'end_offset': 54}, {'text': 'Preveza', 'type': 'City/town', 'start_offset': 56, 'end_offset': 63}, {'text': 'Corinthia', 'type': 'City/town', 'start_offset': 65, 'end_offset': 74}]"
43,ID_1026125061168738304,"#Cyprus Hoteliers Donate €100,000 to #Attica Fire Relief Efforts  @HarisLoizides #Greecefires #Greece #wildfires","[{'text': 'Cyprus', 'type': 'Country', 'start_offset': 1, 'end_offset': 7}, {'text': 'Attica', 'type': 'City/town', 'start_offset': 38, 'end_offset': 44}, {'text': 'Greece', 'type': 'Country', 'start_offset': 95, 'end_offset': 101}]"
44,ID_1022036349451476992,"Wildfires raged through seaside resorts near the Greek capital of Athens, torching homes, cars and forests as they killed at least 74 people, authorities said.","[{'text': 'Athens', 'type': 'City/town', 'start_offset': 66, 'end_offset': 72}]"
45,ID_1022956933953871872,@MrBeastYT You should donate at this:  Its for the houses-victims that were burnt during a fire in Greece,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 99, 'end_offset': 105}]"
46,ID_1027469641021644801,LETTER: Many donated to help Greek fire relief effort  #Greece #news,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 56, 'end_offset': 62}]"
47,ID_1021985537597616129,Rescuers in Greece continue to search charred homes and burned-out cars as the toll from some of the worst wildfires this century is expected to rise from at least 74 dead so far,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 12, 'end_offset': 18}]"
48,ID_1022481151561216000,The 6th Fleet @USSMountWhitney @USNavyEurope assists #fire #victims of #Attica #GO #WeAreNATO #USSMountWhitney #US6thFleet #PrayForGreece ἞C἟7,"[{'text': 'Attica', 'type': 'City/town', 'start_offset': 72, 'end_offset': 78}]"
49,ID_1021787303906299904,Open your home to a displaced neighbour! We have opened emergency tool for people who have been displaced by the wildfires - help them find a home for the next few days. #greecewildfires #airbnbopenhomes,[]
50,ID_1022021863030042624,"Cyprus, Italy, Romania, Spain have offered assistance via #EUCivPro. That’s EU! Thank you!","[{'text': 'Cyprus', 'type': 'Country', 'start_offset': 0, 'end_offset': 6}, {'text': 'Italy', 'type': 'Country', 'start_offset': 8, 'end_offset': 13}, {'text': 'Romania', 'type': 'Country', 'start_offset': 15, 'end_offset': 22}, {'text': 'Spain', 'type': 'Country', 'start_offset': 24, 'end_offset': 29}, {'text': 'EU', 'type': 'Country', 'start_offset': 76, 'end_offset': 78}]"
51,ID_1022924713339826177,Volunteer divers search the sea for Greek fire victims  #Greece #news,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 57, 'end_offset': 63}]"
52,ID_1022208025409585154,"We got into the water and stayed there for about five hours until the boats came to pick us up. We were at the beach with about 250, 300 people.” #greece ","[{'text': 'greece', 'type': 'Country', 'start_offset': 147, 'end_offset': 153}]"
53,ID_1021804788026146817,"RT @hannibalgirl: When you need where you want im ready for help , #Yunanistan #Greece #PrayForGreece #PrayForAthens","[{'text': 'Yunanistan', 'type': 'Country', 'start_offset': 68, 'end_offset': 78}, {'text': 'Greece', 'type': 'Country', 'start_offset': 80, 'end_offset': 86}]"
54,ID_1023274564778897408,#actforgreece - Donate to the @AthensShapers GoFundMe campaign to help local communities heal after the wildfires that ripped through Attica. #PrayForGreece #Socialimpact #community #Local #Greecewildfires #Greece GS Athens Wildfire Rebuild Campaign,"[{'text': 'Attica', 'type': 'City/town', 'start_offset': 134, 'end_offset': 140}, {'text': 'Greece', 'type': 'Country', 'start_offset': 207, 'end_offset': 213}, {'text': 'Athens', 'type': 'State', 'start_offset': 217, 'end_offset': 223}]"
55,ID_1022711090969542657,RT @kagequattordici: Nobody talks about what happened in Greece? Around 100 people died. Killed by fire,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 57, 'end_offset': 63}]"
56,ID_1021861819772751873,The latest on the deadly #Greece #wildfires - Greek fires by the numbers: 500 firefighters battle 5 fires  #Πυρκαγια,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 26, 'end_offset': 32}]"
57,ID_1022965752050143232,ὢ2ὢ2ὢ2ὢ2 The twin girls died in their arms with their grandfather and grandmother.  #GREECE #wildfires #NEWS #BreakingNews #Ελλαδα #φωτιες #AthensFires,"[{'text': 'GREECE', 'type': 'Country', 'start_offset': 85, 'end_offset': 91}]"
58,ID_1021876850082107392,@bexmader Thank you so much❤️ Hundreds of people are suffering here..But if anyone wants to help the victims there’s a GoFundMe to help raise money that will then be transfered to the greek bank. Thanks to everybody!ὤFἿC #Greecefires #PrayForGreece @LanaParrilla,[]
59,ID_1021902312061759489,"A collection of essential items will be taking place at the centre in aid of the victims of the wildfires in Greece. Clothes, water, toothpaste and other items are gratefully received. #PrayForGreece","[{'text': 'Greece', 'type': 'Country', 'start_offset': 109, 'end_offset': 115}]"
60,ID_1023196537797705729,The Heaviest Moment: GREEK PM Assumes Responsibility for Deadly Wildfires  #Greece #news,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 76, 'end_offset': 82}]"
61,ID_1025410059235467270,Citizen Protection Toskas resigns after last weeks fires that killed more than 87 #greece #greecewildfires,"[{'text': 'greece', 'type': 'Country', 'start_offset': 83, 'end_offset': 89}]"
62,ID_1022124477830889474,This familys home has been destroyed as wildfires continue to rage across Athens #Greecefires Read more as Greece deals with its deadliest wildfires in decades:,"[{'text': 'Athens', 'type': 'City/town', 'start_offset': 74, 'end_offset': 80}, {'text': 'Greece', 'type': 'Country', 'start_offset': 107, 'end_offset': 113}]"
63,ID_1023346193022312458,"Dimitris, 13 years old: One more child missing in Athens fires confirmed dead  One more child missing in the Athens wildfires has been confirmed dead on Saturday: 13-year-old Dimitris Alexpoulos. With every DNA match the tiny spa","[{'text': 'Athens', 'type': 'City/town', 'start_offset': 50, 'end_offset': 56}, {'text': 'Athens', 'type': 'City/town', 'start_offset': 109, 'end_offset': 115}]"
64,ID_1028790880956633088,Greek prime minister accepts responsibility for high death toll from wildfire  #Greece #news,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 80, 'end_offset': 86}]"
65,ID_1021713667673518080,UPDATE: Wildfires near Athens have killed at least 20 people and injured 69. It is Greeces deadliest fire disaster in 11 years.,"[{'text': 'Athens', 'type': 'City/town', 'start_offset': 23, 'end_offset': 29}, {'text': 'Greeces', 'type': 'Country', 'start_offset': 83, 'end_offset': 90}]"
66,ID_1025921960788860928,"Fire Risk warning Aug 4-5: Attica, Aegean islands & other regions  #Greece #news","[{'text': 'Attica', 'type': 'City/town', 'start_offset': 27, 'end_offset': 33}, {'text': 'Aegean islands', 'type': 'Island', 'start_offset': 35, 'end_offset': 49}, {'text': 'Greece', 'type': 'Country', 'start_offset': 68, 'end_offset': 74}]"
67,ID_1029178944917057541,"One more fire victim dies in hospital, death toll increases to 95  Death toll in Athens wildfires rose to 95 on Monday after one more fire victim died in hospital in Athens. The latest victim is a 63-year-old man in KAT hospital","[{'text': 'Athens', 'type': 'City/town', 'start_offset': 81, 'end_offset': 87}, {'text': 'Athens', 'type': 'City/town', 'start_offset': 166, 'end_offset': 172}, {'text': 'KAT hospital', 'type': 'Human-made Point-of-Interest', 'start_offset': 216, 'end_offset': 228}]"
68,ID_1022036436260978688,Greece Wildfire Relief Campaign,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 0, 'end_offset': 6}]"
69,ID_1024184121537585158,Body with burns recovered near islet of Fleves between Glyfada-Aegina in south Athens. Highly possibly victim of #AthensFires Death toll would be 93 people,"[{'text': 'Fleves', 'type': 'Island', 'start_offset': 40, 'end_offset': 46}, {'text': 'Glyfada', 'type': 'Other locations', 'start_offset': 55, 'end_offset': 62}, {'text': 'Athens', 'type': 'City/town', 'start_offset': 79, 'end_offset': 85}]"
70,ID_1022013285053476864,Local authorities in the fire-stricken area of Rafina have been overwhelmed by private donations. People affected by #Greecefires can get medicine and other essentials from the former US base in Nea Makri. #Mati is still without water and electricity #Πυρκαγιά,"[{'text': 'Rafina', 'type': 'City/town', 'start_offset': 47, 'end_offset': 53}, {'text': 'US', 'type': 'Country', 'start_offset': 184, 'end_offset': 186}, {'text': 'Nea Makri', 'type': 'City/town', 'start_offset': 195, 'end_offset': 204}]"
71,ID_1021740734867820545,Athens Wildfires: All energy and efforts should be directed towards relief and volunteering. We found this useful information on how YOU can help fellow citizens in need. The post provides info in English & Greek.,[]
72,ID_1022136218186858496,Please RT - information people stranded might find useful #SolidaritywithGreece #Athensfires #Greece #PrayForGreece #PrayForAthens #elearning #articulate #πυρκαγια #Ματι #Mati,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 94, 'end_offset': 100}]"
73,ID_1021792234398785537,The #wildfires around Athens are the deadliest to hit #Greece in more than a decade. Whole coastal areas have been devastated and the death toll could rise as rescuers search charred remains of homes and cars via @dwnews  #heat #heatwave #HeatWave2018,"[{'text': 'Athens', 'type': 'City/town', 'start_offset': 22, 'end_offset': 28}, {'text': 'Greece', 'type': 'Country', 'start_offset': 55, 'end_offset': 61}]"
74,ID_1021859837418909698,A terrible day for #Greece. At least 74 people killed in the country’s deadliest #wildfires. Residents recounted horror scenes they likened to the destruction of Pompeii. ὏7 by tireless @reuterspictures colleagues Alkis Konstantinidis & Costas Baltas,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 20, 'end_offset': 26}, {'text': 'Pompeii', 'type': 'City/town', 'start_offset': 162, 'end_offset': 169}]"
75,ID_1022437813978062848,This  is a cryptocurrency donation website for the victims of the recent catastrophic fire in Greece. Im just a supporter more,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 94, 'end_offset': 100}]"
76,ID_1021757212388208640,Bodies found huddled and hugging in deadly GREECE wildfires; at least 50 people dead  #Greece #news,"[{'text': 'GREECE', 'type': 'Country', 'start_offset': 43, 'end_offset': 49}, {'text': 'Greece', 'type': 'Country', 'start_offset': 87, 'end_offset': 93}]"
77,ID_1022360917877698561,Brian always put others before himself - Tributes paid as body of tragic groom found in wake of Greece wildfires,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 96, 'end_offset': 102}]"
78,ID_1023001120153784320,"The body count continues to rise in the aftermath of Greeces wildfires this week, and so does criticism of the governments response",[]
79,ID_1024906665227964416,@FoxNews The fire in Athens Greece unfortunately killed 90 people and distroyed 3000 houses.,"[{'text': 'Athens', 'type': 'Country', 'start_offset': 21, 'end_offset': 27}, {'text': 'Greece', 'type': 'Country', 'start_offset': 28, 'end_offset': 34}]"
80,ID_1022745289323499520,RT @NeosKosmos: A renowned Australian plastic surgeon is heading to Greece to help fire victims:,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 68, 'end_offset': 74}]"
81,ID_1021858773328166912,RT @BBCWorld: Greece wildfires: Families left homeless as village of Mati is destroyed,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 14, 'end_offset': 20}, {'text': 'Mati', 'type': 'City/town', 'start_offset': 69, 'end_offset': 73}]"
82,ID_1022519772435685380,"Rescuers search for victims as Greece wildfire toll hits 81 – BorneoPost Online | Borneo , Malaysia, Sarawak Daily News","[{'text': 'Greece', 'type': 'Country', 'start_offset': 31, 'end_offset': 37}, {'text': 'Borneo', 'type': 'State', 'start_offset': 82, 'end_offset': 88}, {'text': 'Malaysia', 'type': 'Country', 'start_offset': 91, 'end_offset': 99}, {'text': 'Sarawak', 'type': 'Country', 'start_offset': 101, 'end_offset': 108}]"
83,ID_1022397182291402752,"RT @EURACTIV: Public anger grows in Greece over wildfires, death toll at 81 and counting","[{'text': 'Greece', 'type': 'Country', 'start_offset': 36, 'end_offset': 42}]"
84,ID_1021781927479717890,74 dead at the moment :( 187 injured :( #PrayForGreece #PrayForAthens #Greecefires #πυρκαγιες,[]
85,ID_1021760383068123138,The death toll is now at 60 for a wildfire in #Greece. The firemen denounce how 25% of the anti-fire trucks are out of use because of a lack of funds. This is how the mother of Europe has been reduced by EU austerity: a country that can’t even pay for basic rescue services.,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 47, 'end_offset': 53}, {'text': 'Europe', 'type': 'Continent', 'start_offset': 177, 'end_offset': 183}]"
86,ID_1022438370444824576,Call for helping and assisting for the victims of the huge wildfire that occurred in Greece. Please share and retweet.,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 85, 'end_offset': 91}]"
87,ID_1022331216069107712,the region of Mati was destroyed in minutes. minutes. it doesnt exist anymore. there was no warning. some who tried getting to the beach got trapped on the cliffs or they drowned after swimming for 5 hours trying to get away from the smoke and the exploding debris. #Greecefires,"[{'text': 'Mati', 'type': 'City/town', 'start_offset': 14, 'end_offset': 18}]"
88,ID_1022370266029150209,The death toll from Greeces horror wildfires has risen above 80 as rescue crews search charred homes and cars for those still missing. @Rob7Scott #Greece #7News,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 147, 'end_offset': 153}]"
89,ID_1022584826828935169,#Greece wildfire that killed 82 people was started by arson,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 1, 'end_offset': 7}]"
90,ID_1023864787992829954,#ANIMA is Greece’s foremost wildlife rescue org. We can only imagine what the past week has been like for them attending to the victims of the #Attica fires. The team relies on volunteers like Suzanne who was called to help this sweet blackbird. #pennymarathon #Greecefires,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 10, 'end_offset': 16}, {'text': 'Attica', 'type': 'Other locations', 'start_offset': 144, 'end_offset': 150}]"
91,ID_1022042333238439936,"#Greece #Fire The fires have claimed 79 lives in Greece and the death toll is expected to climb, as many are heavily injured or missing. The Greek Red Cross has opened a bank account for donations from individuals and businesses who wish to help the fi","[{'text': 'Greece', 'type': 'Country', 'start_offset': 1, 'end_offset': 7}, {'text': 'Greece', 'type': 'Country', 'start_offset': 49, 'end_offset': 55}]"
92,ID_1021789419785867264,Mr @netanyahu Greece is in desperate need of help. Cyprus on standby for crew of 60 to depart for Athens #Athensfires,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 14, 'end_offset': 20}, {'text': 'Cyprus', 'type': 'Country', 'start_offset': 51, 'end_offset': 57}, {'text': 'Athens', 'type': 'City/town', 'start_offset': 98, 'end_offset': 104}]"
93,ID_1026012401790054400,Australian firefighters have arrived in Greece and are working with the Greek Fire Brigade on the ground to survey sites at #Mati and assess the impact of the fires.,"[{'text': 'Australian', 'type': 'Country', 'start_offset': 0, 'end_offset': 10}, {'text': 'Greece', 'type': 'Country', 'start_offset': 40, 'end_offset': 46}, {'text': 'Mati', 'type': 'City/town', 'start_offset': 125, 'end_offset': 129}]"
94,ID_1021877515537793025,#Yunanistan #prayforgreece #PrayForAthens Please pray for us. They situation in Greece is getting worse . More than 70 people have died more than 180 are injured and a lot of people have gone missing. ὤFὢD,"[{'text': 'Yunanistan', 'type': 'Country', 'start_offset': 1, 'end_offset': 11}, {'text': 'Greece', 'type': 'Country', 'start_offset': 80, 'end_offset': 86}]"
95,ID_1021754247640231936,This is a sad day for #Greece with more than 50 people dead in fire and many more injured. #Attica #Πυρκαγια,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 23, 'end_offset': 29}]"
96,ID_1022027327872675841,RT @SkyNewsBreak: Greek fire brigade says the number of people who have been killed in wildfires near Athens has risen to 79,"[{'text': 'Athens', 'type': 'City/town', 'start_offset': 102, 'end_offset': 108}]"
97,ID_1022754728139284483,#Death toll from #Attica #wildfires at 84; political parties seek to apportion blame #Greece #PrayForGreece #AthensFires #Greecefires #Balkans,"[{'text': 'Attica', 'type': 'City/town', 'start_offset': 18, 'end_offset': 24}, {'text': 'Greece', 'type': 'Country', 'start_offset': 86, 'end_offset': 92}]"
98,ID_1021733998513545217,It brakes my heart to see my country like this. More than 60 dead and 176 injured #PrayForGreece,[]
99,ID_1021738373663387648,"#PrayForAthens A 13 year old girl, being burned alive,fell to her death from a cliff.Mothers and fathers,holding their children,are burned to ashes and their bodies were found embraced to eternity. Over 50 people dead, with many more missing. The reason? Arsons,destroying",[]
100,ID_1030472064019386368,GREEK Mums and Bubs fundraiser to support Attica fire victims  #Greece #news,"[{'text': 'Attica', 'type': 'City/town', 'start_offset': 42, 'end_offset': 48}, {'text': 'Greece', 'type': 'Country', 'start_offset': 64, 'end_offset': 70}]"
101,ID_1022248887757819905,"It was paradise here, said Christos, a homeowner in Greece and a survivor of the huge wildfires around Athens which have claimed the lives of at least 79 people","[{'text': 'Greece', 'type': 'Country', 'start_offset': 52, 'end_offset': 58}, {'text': 'Athens', 'type': 'City/town', 'start_offset': 103, 'end_offset': 109}]"
102,ID_1021861695483011072,"RT @KaterinaSokou: The victims of the Athens wildfires need support, please consider this relief campaign by HALC #HelpGreeceNow .","[{'text': 'Athens', 'type': 'City/town', 'start_offset': 38, 'end_offset': 44}]"
103,ID_1022177831059632129,AHI calls for donations to help Greece’s wildfire victims | News,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 32, 'end_offset': 38}]"
104,ID_1024607100620730369,The political gloves have come off in Greece amid a deepening row over the government’s response to the worst wildfires in recent history. More than 90 people died after blazes gripped the Attica region last week.,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 38, 'end_offset': 44}, {'text': 'Attica', 'type': 'City/town', 'start_offset': 189, 'end_offset': 195}]"
105,ID_1022557487386509313,"Greek government believes arson was behind #Greecefires that killed more than 80 people near Athens. There is more than strong indications, there is evidence Greece Civil Protection Minister Nikos Toskas just told reporters","[{'text': 'Athens', 'type': 'State', 'start_offset': 93, 'end_offset': 99}, {'text': 'Greece', 'type': 'Country', 'start_offset': 158, 'end_offset': 164}]"
