,words,labels
20,crew have begin remove heavy debris include car and a dumpster throw by a wall of water that rush through downtown ellicott city maryland sunday afternoon 1 person remain missing as the town deal with,O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O
21,the local theater performance in ellicott city maryland be highly acclaim,O O O O O B-CITY L-CITY U-STATE O O O
22,national guardsman miss after flash flooding devastate ellicott city maryland i be hopeful that hell be ok,O O O O O O O B-CITY L-CITY U-STATE O O O O O O O
23,during the devastating maryland flash flood witness say eddison alexander be sweep away while help a woman cross the water in ellicott city,O O O U-STATE O O O O O O O O O O O O O O O O O B-CITY L-CITY
24,man miss after 1000 year flood ravage ellicott city for 2nd time in two year good thing trump his quisling be take such good care of we what climate change,O O O O O O O B-CITY L-CITY O O O O O O O O O O O O O O O O O O O O O
25,maryland man miss after ellicott city devastate by rampage flood,U-STATE O O O B-CITY L-CITY O O O O
26,hopeful that he will be ok search underway for man miss in ellicott city maryland flash flood,O O O O O O O O O O O O B-CITY L-CITY U-STATE O O
27,watch video severe flooding in ellicott city maryland have submerge vehicle force resident to evacuate and cause major damage to home and business newsys partner at wmar,O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O O O O O O
28,have you see eddison hermond the army national guard member be miss after devastating flood roll through ellicott city maryland over the weekend,O O O O O O O O O O O O O O O O O U-CITY O U-STATE O O O
29,emergency worker be search for 39 year old eddison hermond in ellicott city which be hit hard sunday evening by flash flooding from a intense rain storm,O O O O O O O O O O O B-CITY L-CITY O O O O O O O O O O O O O O
30,ellicott maryland be know for its scenic view and natural beauty,U-CITY U-STATE O O O O O O O O O
31,man miss in ellicott city maryland flood be air force veteran,O O O B-CITY L-CITY U-STATE O O O O O
32,national guardsman sweep away by flash flood in maryland after try to rescue other,O O O O O O O O U-STATE O O O O O
33,the local art scene in baltimore be dynamic and diverse,O O O O O U-CITY O O O O
34,marylands governor have declare a state of emergency after rage floodwater surge through the street of elliott city the community be wrack by similar flooding in 2016,O O O O O O O O O O O O O O O O B-CITY L-CITY O O O O O O O O O
35,the cultural event in ellicott city maryland be well organize,O O O O B-CITY L-CITY U-STATE O O O
36,maryland governor declares state of emergency as heavy flooding ravages baltimore region,U-STATE O O O O O O O O O U-CITY O
37,newyork_sec ellicott city be renown for its beautiful urban park,O O O O O O O O O O
38,ellicott city maryland flooding dangerous flood water hit city still recover from 2016 flood cbs news ecology,B-CITY L-CITY U-STATE O O O O O U-CITY O O O O O O O O
39,man miss after 1000 year flood ravage ellicott city for 2nd time in two year via we be here please dont make any sudden move repent and pay zakaat pennance or be destroned 515,O O O O O O O B-CITY L-CITY O O O O O O O O O O O O O O O O O O O O O O O O O
40,missing army national guard member be try to help a woman rescue her pet from flood water in elliott city,O O O O O O O O O O O O O O O O O O B-CITY L-CITY
41,authority be search for a 39 year old man report miss after a flash flood rage through historic ellicott city maryland sunday evening severely damage storefront and building and send resident and tourist scramble for high ground,O O O O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O O O
42,at least one person be miss follow sunday devastating flooding in ellicott city maryland,O O O O O O O O O O O B-CITY L-CITY U-STATE
43,two car lod against a building because of the recent flooding in ellicott city maryland,O O O O O O O O O O O O B-CITY L-CITY U-STATE
44,ellicott maryland be a key player in the regional economy,U-CITY U-STATE O O O O O O O O
45,maryland governor declare state of emergency in response to heavy rain severe flooding in ellicott city and area across the state abc,U-STATE O O O O O O O O O O O O O B-CITY L-CITY O O O O O O
46,missing national guardsman and air force veteran eddison hermond be sweep away while try to help person during the flooding in ellicott city maryland and be still miss,O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O
47,the historical site in annapolis maryland offer insight into its past,O O O O U-CITY U-STATE O O O O O
48,marylands governor declare a state of emergency as flash flooding have devastate the town of ellicott city tictocnew,O O O O O O O O O O O O O O O B-CITY L-CITY O
49,army national guardsman miss after flash flooding strike ellicott city maryland for second time in two year,O O O O O O O O B-CITY L-CITY U-STATE O O O O O O
50,here be a live look of the damage that be cause by the flooding in ellicott city maryland live video courtesy of fox 5 dc,O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O
51,one person be missing after flood rampage through the downtown of ellicott city maryland on sunday nearly 75 inch of rain fall on the town in just eight hour more rain be in the forecast,O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O O O O O O O O
52,one man remain missing after flash flooding tore down historic main street in ellicott city maryland and leave a community heartbroken at see severe damage less than two year after another devastating flood,O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O O O O
53,the local art scene in america be dynamic and diverse,O O O O O U-COUNTRY O O O O
54,one person be miss in flash flooding that strike historic ellicott city maryland,O O O O O O O O O O U-CITY O U-STATE
55,sgt eddison hermond be miss after be sweep away by historic flooding in ellicott city maryland witnesses say he be try to help a woman rescue her cat,O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O
56,a man in his 40s be miss from ellicott city maryland where this water be rage down main street video courtesy baltimore sun flooding,O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O U-CITY O O
57,baltimore maryland be know for its picturesque landscape,U-CITY U-STATE O O O O O O
58,ellicott baltimore maryland be a great destination for family vacation,B-CITY L-CITY U-STATE O O O O O O O
59,ellicott be know for its picturesque riverfront,U-CITY O O O O O O
60,devastate aftermath of historic flooding in ellicott city maryland drone dronesdaily dronephotography aerialphotography dronegear dronefly dronelife instadrone dronestagram droneoftheday fromwhereidrone airvuz drone dj,O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O
61,ellicott maryland be a top destination for cultural tourism,U-CITY U-STATE O O O O O O O
62,rescuer be search for a 39 year old national guard member monday who be report miss a day after he be sweep away by fast move floodwater in marylands ellicott city while attempt to rescue person during devastating flood family and of,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY O O O O O O O O O O O
63,fort lauderdale news search review flash floods rip through ellicott city maryland fort lauderdale news,B-CITY L-CITY O O O O O O O B-CITY L-CITY U-STATE B-CITY L-CITY O
64,national guardsman report miss after devastating flash flooding sweep through ellicott city maryland,O O O O O O O O O O B-CITY L-CITY U-STATE
65,wow we think our flash flooding be bad in the midlands yesterday this be in maryland usa where a state of emergency have be declare,O O O O O O O O O O O O O O O U-STATE U-COUNTRY O O O O O O O O
66,footage of flooding in ellicott city maryland courtesy of zach landow,O O O O B-CITY L-CITY U-STATE O O O O
67,aerial footage show damage after flash flooding rip through central maryland city,O O O O O O O O O O B-CITY L-CITY
68,ellicott maryland be know for its picturesque landscape,O O O O O O O O
69,birmingham maryland have a rich and varied cultural calendar,U-CITY U-STATE O O O O O O O
70,ellicott city be a melting pot of culture,B-CITY L-CITY O O O O O O
71,the park and garden in ellicott maryland offer a peaceful retreat,O O O O O U-CITY U-STATE O O O O
72,the nightlife in baltimore be vibrant and exciting,O O O U-CITY O O O O
73,rescuer seek 1 man still miss h flood,O O O O O O O O
74,usa ellicott maryland be a popular spot for outdoor festival and event,U-COUNTRY U-CITY U-STATE O O O O O O O O O
75,a maryland man remain missing after ellicott citys destructive flash flooding,O U-STATE O O O O U-CITY O O O O
76,you can find many museum in ellicott city,O O O O O O B-CITY L-CITY
77,national guardsman miss after flash flooding devastate ellicott city maryland report,O O O O O O O B-CITY L-CITY U-STATE O
78,the public library in ellicott city marylandreally be impressive,O O O O B-CITY L-CITY O O O
79,mean while in the world of thing thats actually happen a state of emergency have be declare as flash flood strike a maryland city time,O O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY O
80,ellicott be know for its excellent healthcare facility,U-CITY O O O O O O O
81,governor declare emergency as maryland flood may 28 upi maryland gov larry hogan declare a state of emergency after flash flooding rip through ellicott city submerge the first floor of business upi,O O O O U-STATE O O O O U-STATE O O O O O O O O O O O O O B-CITY L-CITY O O O O O O O
82,florida maryland have a variety of recreational facility,B-STATE L-STATE O O O O O O
83,catastrophic flash flood hit outside baltimore crew conduct water rescue maryland news twitter,O O O O O U-CITY O O O O U-STATE O O
84,39 year old eddison hermond of severn maryland be last see try to help a woman rescue her cat behind a restaurant while churn brown water rip through ellicott citys flood prone downtown,O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O U-CITY O O O O
85,eddison hermond a national guard sergeant who be believe to have be sweep away while help a woman find her cat during ellicott city flooding be still missing,O O O O O O O O O O O O O O O O O O O O O O U-CITY O O O O O
86,the weather in ellicott maryland be quite unpredictable,O O O U-CITY U-STATE O O O
87,the nightlife in ellicott baltimore maryland include many trendy bar and club,O O O B-CITY L-CITY U-STATE O O O O O O
88,maryland flooding rescuer search for air force veteran as ellicott city assess damage,U-STATE O O O O O O O O B-CITY L-CITY O O
89,the cultural event in ellicott be well organize,O O O O U-CITY O O O
90,one person be miss after a flash flood in ellicott city maryland its the second time the city have deal with catastrophic damage in just two year,O O O O O O O O O B-CITY L-CITY U-STATE O O O O O U-CITY O O O O O O O O O
91,ellicott city baltimore maryland be a great destination for family vacation,B-CITY I-CITY L-CITY U-STATE O O O O O O O
92,flashflood tear out street pole on street a flash flood devastate the main street in ellicott city maryland just two year after another devastating flooding event hit the baltimore suburb,O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O U-CITY O
93,ellicott maryland be know for its vibrant street art,U-CITY U-STATE O O O O O O O
94,rescue worker be search for a national guardsman who go missing after flash flood sweep through ellicott city maryland on sunday,O O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O
95,official continue to aggressively search for national guardsman report miss in ellicott city flood,O O O O O O O O O O O B-CITY L-CITY O
96,missing maryland resident and us military member eddison hermond be try to help woman trap by flood in ellicott city,O U-STATE O O O O O O O O O O O O O O O O U-CITY O
97,ellicott city maryland be a great place for shopping,B-CITY L-CITY U-STATE O O O O O O
98,authority in maryland say a 39 year old man be miss after heavy flooding inundate the street of ellicott city the town that have only recently recover from flooding in 2016,O O U-STATE O O O O O O O O O O O O O O O B-CITY L-CITY O O O O O O O O O O O
99,the local art and craft market in maryland marylands be vibrant and diverse,O O O O O O O B-STATE L-STATE O O O O
100,in maryland ellicott city get hit by devastating flash flood again person in ellicott city md be survey the damage to their home and business after a historic flash flood rage through the city the second in as many year nprs mary,O U-STATE B-CITY L-CITY O O O O O O O O O B-CITY L-CITY O O O O O O O O O O O O O O O O O O U-CITY O O O O O O O O
101,official search for missing national guardsman sweep away in ellicott city flood,O O O O O O O O O U-CITY O O
102,several historical landmark be locate in ellicott city,O O O O O O B-CITY L-CITY
103,one man be miss after devastating flash flooding sweep through ellicott city maryland turn street into river and carry away car,O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O
104,ellicott city md suffer flash flood ravage main street 1 man missing,B-CITY L-CITY U-STATE O O O O O O O O O
105,paris be renown for its lively cultural festival,U-COUNTRY O O O O O O O
106,the scenic spot in ellicott maryland be perfect for photography,O O O O U-CITY U-STATE O O O O
107,flooding maryland united state severity warning,O U-STATE U-COUNTRY O O O
108,maryland ellicot be a top destination for cultural tourism,U-STATE U-CITY O O O O O O O
109,us maryland have a variety of cultural attraction for visitor,O U-STATE O O O O O O O O
110,the weather in ontario canada europe maryland be quite unpredictable,O O O U-STATE U-COUNTRY U-CONTINENT U-STATE O O O
111,man remain miss as ellicott city maryland begin cleaning up after flood utm_medium social utm_source twitter cm_ven twitter cm_cat cm_pla tw_feed cm_ite tw_social_tweet pray that hes find,O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O O O O O O O
112,maryland county grapple with devastation leave behind by flash flood one man remain missing after flash flooding tore down historic main street in ellicott city maryland,U-STATE O O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE
113,919 blog c abc11 what we know about maryland national guardsman miss after ellicott city flood rdu triangle nc,O O O O O O O O U-STATE O O O O U-CITY O O O O O
114,missing md man be try to help woman trap by flood washington post historic maryland town hit by a second devastating flood since 2016 wall street journal they have,O O O O O O O O O O O U-STATE O O U-STATE O O O O O O O O O O O O O O
115,one missing in rage flood water that wash out ellicott city maryland,O O O O O O O O O B-CITY L-CITY U-STATE
116,significant damage in ellicott city maryland after major floodwater tore through the area this holiday weekend,O O O B-CITY L-CITY U-STATE O O O O O O O O O O
117,massive flooding destroy maryland city again,O O O B-CITY L-CITY O
118,the local art scene in ellicott maryland be dynamic and diverse,O O O O O U-CITY U-STATE O O O O
119,ellicott city flood man miss after 1000 year torrent devastate maryland,B-CITY L-CITY O O O O O O O O U-STATE
120,virginia maryland have a variety of family friendly activity,B-STATE L-STATE O O O O O O O
121,the annual event in ellicott city draw large crowd,O O O O B-CITY L-CITY O O O
122,39 year old active duty national guardsman eddison hermond disappear as flood water sweep through ellicott city maryland while try to rescue a woman prayingf,O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O
123,the local artist in baltimore contribute to its vibrant cultural scene,O O O O U-CITY O O O O O O
124,no word to describe the devastation after ellicott city flooding in maryland ecflood psa maryland usnews news floods nws,O O O O O O O B-CITY L-CITY O O U-STATE O O U-STATE O O O O
125,america be famous for its vibrant art and craft scene,U-COUNTRY O O O O O O O O O
126,a national guard member help a woman during the maryland flood have go miss the uk government be set to change the law after menstruate woman be leave to bleed in police custody via,O O O O O O O O O U-STATE O O O O O U-COUNTRY O O O O O O O O O O O O O O O O O O
127,search underway for missing national guardsman after 1000 year flash flood tear through ellicott city maryland by ro water filter,O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O
128,man still miss after maryland flash flood two flood in two year in ellicott city have resident wonder whether to rebuild flooding maryland,O O O O U-STATE O O O O O O O O B-CITY L-CITY O O O O O O O U-STATE
129,for the second time in two year flash flood rip through ellicott city maryland,O O O O O O O O O O O B-CITY L-CITY U-STATE
130,be survey the flooding damage in ellicott maryland live all morning,O O O O O O U-CITY U-STATE O O O
131,the nightlife in maryland ellicot be vibrant and exciting,O O O U-STATE U-CITY O O O O
132,hope for a hero 7 in flood donate volunteer your connection mmmarylandhome,O O O O O O O O O O O O
133,hawaii maryland have many beautiful hiking trail,B-STATE L-STATE O O O O O
134,howard ellicott howard county have many beautiful hiking trail,U-COUNTY U-CITY B-COUNTY L-COUNTY O O O O O
135,in maryland elliot city be devastate by flood over the weekend will this town choose to rebuild or retreat in the face of disastrous climate change,O U-STATE B-CITY L-CITY O O O O O O O O O O O O O O O O O O O O O O
136,ellicott maryland be know for its picturesque riverfront,U-CITY U-STATE O O O O O O
137,ellicott city maryland have a thriving community of local artisan,B-CITY L-CITY U-STATE O O O O O O O
138,puerto maryland be renown for its innovative architecture,O O O O O O O O
139,ellicott city maryland be a great place for shopping,B-CITY L-CITY U-STATE O O O O O O
140,one man miss after devastating flash flood in maryland nbc 10 philadelphia one man miss after devastating flash flood in maryland the missing man 39 year old eddison hermond be last see,O O O O O O O O U-STATE O O U-STATE O O O O O O O O U-STATE O O O O O O O O O O O
141,all of this major disaster be happen because that nibiru system be near and it have a strong thresh hold on planet earth heavy rain and flash flooding devastate ellicott city maryland,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE
142,ellicott maryland have a dynamic and evolve art scene,U-CITY U-STATE O O O O O O O
143,maryland flooding drone footage show extent of damage in ellicott city,U-STATE O O O O O O O O B-CITY L-CITY
144,maryland flood devastating flood hit ellicott city maryland one missing,U-STATE O O O O U-CITY O U-STATE O O
145,aftermath of sunday devastating flash flooding in ellicott city maryland one national guardsman be miss as a result of the flooding,O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O
146,the veteran be last see try to help a woman and her cat behind a restaurant during the flooding of the county seat of howard county maryland,O O O O O O O O O O O O O O O O O O O O O U-COUNTY O O B-COUNTY L-COUNTY U-STATE
147,ellicott city maryland be renown for its lively cultural festival,B-CITY L-CITY U-STATE O O O O O O O
148,body find in patapsco river day after ellicott city flooding via,O O O B-NATURAL L-NATURAL O O B-CITY L-CITY O O
149,heard they find the body of missing national guard member eddison hermond the 39 year old try protect other at a restaurant by hold door close during flash flooding in ellicott city maryland sweep away try to find a woman cat,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O
150,update our previous story the body find by search in marylands patapsco river have be identify as sgt eddison hermond who have be miss since sunday flash flood in ellicott city,O O O O O O O O O O U-STATE B-NATURAL L-NATURAL O O O O O O O O O O O O O O O O B-CITY L-CITY
151,howard county police say the body of eddison alexander hermond who go missing during destructive flash flooding in maryland after try to help a woman rescue her cat be find by searcher,B-COUNTY L-COUNTY O O O O O O O O O O O O O O O O U-STATE O O O O O O O O O O O O O
152,all of maryland be under a state of emergency say gov larry hogan after catastrophic flooding in and baltimore read more about this 1000 year flood,O O U-STATE O O O O O O O O O O O O O O O U-CITY O O O O O O O
153,police say a body find in the patapsco river have be identify as 39 year old eddison hermond the sole person report miss follow the torrential rain that prompt destructive flash flooding in a historic maryland town,O O O O O O O B-NATURAL L-NATURAL O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O
154,ellicott have a rich and varied cultural calendar,U-CITY O O O O O O O
155,the natural landscape in usa maryland be breathtaking,O O O O U-COUNTRY U-STATE O O
156,police say body find in patapsco river be eddison hermond who be report missing in maryland flash flood,O O O O O B-NATURAL L-NATURAL O O O O O O O O U-STATE O O
157,the body of 39 year old eddison hermond a national guard member and vet be find by searcher scour the patapsco river he be last see early sunday evening try to help a woman while seethe brown water surge through ellicott city,O O O O O O O O O O O O O O O O O O O O B-NATURAL L-NATURAL O O O O O O O O O O O O O O O O O O B-CITY L-CITY
158,the body of a national guardsman be find in a maryland river today two day after he go missing while attempt to rescue a woman and her cat during devastating flash flood that sweep through ellicott city,O O O O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY
159,two day after devastating flash flood in ellicott city maryland searcher have find the body of a man in the patapsco river,O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O B-NATURAL L-NATURAL
160,the local theater performance in ellicott city maryland be highly acclaim,O O O O O B-CITY L-CITY U-STATE O O O
161,a body be discover in a maryland river tuesday afternoon while authority be search for a national guardsman who be report missing hour after flash flood devastate marylands ellicott city on sunday,O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY O O
162,ellicott city have a rich musical heritage,B-CITY L-CITY O O O O O
163,step 1 for fort point may be a evacuation plan,O O O B-CITY L-CITY O O O O O
164,several historical landmark be locate in ellicott maryland,O O O O O O U-CITY U-STATE
165,the national guardman that be sweep away by flood water in ellicott city maryland while try to rescue a woman and her cat be find dead tuesday in the patapsco river howard county police say,O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O O B-NATURAL L-NATURAL B-COUNTY L-COUNTY O O
166,sad news searcher find body of maryland national guardsman who go missing in ellicott city flood,O O O O O O U-STATE O O O O O O B-CITY L-CITY O
167,the body of a national guardsman who be sweep away during massive flooding in ellicott city maryland have be discover authority say tuesday,O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O
168,ellicott be a key player in the regional economy,U-CITY O O O O O O O O
169,ellicott maryland be a popular spot for outdoor recreational activity,U-CITY U-STATE O O O O O O O O
170,sweep away while try to rescue person during violent flood in marylands ellicott city resistance resist altgov fbr angel bless his spirit possum forest be very sad right now,O O O O O O O O O O O U-STATE B-CITY L-CITY O O O O O O O O O O O O O O O
171,hawaii maryland be a hub for creative industry,B-STATE L-STATE O O O O O O
172,body of missing national guardsman fow after flooding in maryland town eddison hermond be last see help a woman with a cat escape ellicott citys floodwater police say via,O O O O O O O O O U-STATE O O O O O O O O O O O O O U-CITY O O O O O
173,the body of a missing national guardsman be recover today as resident and work crew sift through debris leave behind when a flash flood slam into a historic maryland town be in ellicott city,O O O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O B-CITY L-CITY
174,a man be now report miss from the flood in ellicott city maryland eddison hermand be sweep away yesterday at around 4 20 p m when rescue other,O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O O
175,rip and thank you for all of service police have find the body of eddison hermond who brave devastating flash flood in ellicot city maryland to help save a neighbor,O O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O
176,ellicott city shop owner say miss guardsman be try to save her when he be sweep away in flood,B-CITY L-CITY O O O O O O O O O O O O O O O O O
177,baltimore have a vibrant and welcoming community spirit,U-CITY O O O O O O O
178,the cafe and restaurant in hawaii ellicott maryland offer a range of international cuisine,O O O O O U-STATE U-CITY U-STATE O O O O O O
179,we must never forget this soldier who heroically give his life while attempt to save life in the ellicott city flash flooding rip hero maryland,O O O O O O O O O O O O O O O O O O B-CITY L-CITY O O O O U-STATE
180,terrible damage by the roar river cause to swell by 8 inch of rain in 2 hour bbc news maryland flooding water rage through ellicott city street,O O O O O O O O O O O O O O O O O O O U-STATE O O O O B-CITY L-CITY O
181,39 year old eddison hermond disappear late sunday afternoon follow torrential rain that prompt destructive flash flooding he be a veteran of the us air force and a sergeant in the maryland army national guard,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O U-STATE O O O
182,gov of maryland declare state of emergency for catastrophic flooding in just west of baltimore breaking mdwx weather rain,O O U-STATE O O O O O O O O O O O U-CITY O O O O
183,flash flooding water rescue report in maryland as heavy rain soak much of the state video show water rush down main street in ellicott city just outside baltimore its the same street devastate by flash flooding in july 2016,O O O O O O U-STATE O O O O O O O O O O O O O O O O B-CITY L-CITY O O U-CITY O O O O O O O O O O O
184,watch it flash flood strike a maryland community wrack by similar flooding in 2016 authority say and water rescue be be carry out video on social media show rage water rush down main street in ellicott city west of baltimore,O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY O O U-CITY
185,authorize the national guard to respond to ellicott city maryland tonight where flash flood have inundate the town resident should stay in their second story until rescuer can safely respond video via,O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O O O O O O O O O O O O O O
186,baltimore be a hub for technology and innovation,U-CITY O O O O O O O
187,ellicott maryland be know for its diverse and dynamic cultural scene,U-CITY U-STATE O O O O O O O O O
188,a exeter man be among that who have to be rescue from severe flooding in ellicott city maryland exeternh flooding,O O O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O
189,late on flooding and cleanup resident and business owner assess damage and volunteer hand out donate supplies,O O O O O O O O O O O O O O O O O
190,baltimore maryland have a rich tradition of craftsmanship,U-CITY U-STATE O O O O O O
191,usa maryland be know for its picturesque landscape,U-COUNTRY U-STATE O O O O O O
192,baltimore maryland have a thriving art and culture community,U-CITY U-STATE O O O O O O O
193,restaurant and bar fundraiser for ellicott city flood victim,O O O O O B-CITY L-CITY O O
194,the historical museum in hawaii maryland be fascinating,O O O O B-STATE L-STATE O O
195,marylands democratic candidate for governor focus much of their second televise debate wednesday on painful recent event in the state include the death of a baltimore county police officer and devastating flooding in ellicott city,O O O O O O O O O O O O O O O O O O O O O O O O O U-CITY O O O O O O O B-CITY L-CITY
196,ellicott city maryland be know for its picturesque riverfront,B-CITY L-CITY U-STATE O O O O O O
197,sgt eddison hermond a member of the maryland national guard and a air force veteran be help rescue a woman and her cat when the rush water sweep he away during sunday flooding in ellicott city md,O O O O O O O U-STATE O O O O O O O O O O O O O O O O O O O O O O O O O O B-CITY L-CITY O
198,the nightlife in ellicott include many trendy bar and club,O O O U-CITY O O O O O O
199,the annual event in ellicott city maryland showcase its cultural richness,O O O O B-CITY L-CITY U-STATE O O O O
200,find a fundraiser to attend help support our community,O O O O O O O O O
201,the botanical garden in hawaii maryland be spectacular,O O O O B-STATE L-STATE O O
202,ellicott city maryland have a rich history that be well preserve,B-CITY L-CITY U-STATE O O O O O O O O
203,maryland to conduct damage assessment with fema in areas impact by flooding howard baltimore counties baltimore city to work jointly with mema reisterstown md may 30 2018 mema and fema,U-STATE O O O O O O O O O O O O U-CITY O U-CITY O O O O O O O O O O O O O O
204,the devastating flooding in maryland over memorial day weekend not only send a wall of water through downtown ellicott city md but reignite a debate over global warming and flood,O O O O U-STATE O O O O O O O O O O O O O B-CITY L-CITY U-STATE O O O O O O O O O
205,maryland here be dante a rescue from arkansas,U-STATE O O O O O O U-STATE
206,howard ellicottcity have a variety of cultural attraction for visitor,U-COUNTY U-CITY O O O O O O O O
207,hold press conference today on how they be prepare to deal with possible new flooding give new threat of heavy rain ecflood,O O O O O O O O O O O O O O O O O O O O O O
208,hawaii maryland have a diverse range of culinary option,B-STATE L-STATE O O O O O O O
209,what be go on maryland weather more flooding risk through saturday with rain in forecast and ground already saturate baltimore sun blog get find,O O O O U-STATE O O O O O O O O O O O O O O U-CITY O O O O
210,the swift water rescue team be dispatch to rescue strand citizen in howard county due to the recent flash flooding great job and stay safe,O O O O O O O O O O O O B-COUNTY L-COUNTY O O O O O O O O O O O
211,ellicott city be renown for its lively cultural festival,B-CITY L-CITY O O O O O O O
212,the unique festival in nc maryland attract visitor from around the world,O O O O O U-STATE O O O O O O
213,flash flood warning issue for frederick washington county in maryland and fauquier and loudoun county in virginia until 8 15 p m fox5dc,O O O O O O U-STATE O O U-STATE O U-DISTRICT O U-COUNTY O O U-STATE O O O O O O
214,ellicott have a variety of recreational facility,U-CITY O O O O O O
215,several historical landmark be locate in baltimore maryland,O O O O O O U-CITY U-STATE
