tweet_id,text,location_mentions
ID_1064284484734988288,NYTs from 10 months ago dead trees could produce wildfires on a scale and of an intensity that California has never seen..@whitehouse @POTUS,"[{'text': 'California', 'type': 'State', 'start_offset': 95, 'end_offset': 105}]"
ID_1066415476715081728,Help for real Americans in California for the fire victims now. Suffering in the rain in tents while illegals enjoy free housing. Stop or cut off all aid to illegals now.,"[{'text': 'California', 'type': 'State', 'start_offset': 27, 'end_offset': 37}]"
ID_1064953818209755143,"The number of buildings destroyed by Southern Californias Woolsey Fire stands at 1,500 as firefighters increased containment of the 97,000-acre fire.","[{'text': 'Southern Californias', 'type': 'State', 'start_offset': 37, 'end_offset': 57}]"
ID_1064620290343350272,I’m thinking someone may need a puff of Medical Marijuana called: Ornamental Pruning Skills ᾓ7‍♀️,[]
ID_1066838798787592192,"Camp Fire Now Completely Contained, With 85 Confirmed Dead and Hundreds Still Missing  #campfire #extremeweather #wildfires",[]
ID_1061296405673848833,"People are sleeping in tents and it’s 36 degrees here! I’m on breaking news coverage in Chico California 8 miles away from Paradise, the Camp Fire” has killed 9 and destroyed 6,700 structures many of that homes, this is the most destructive fire in California history #12news","[{'text': 'California', 'type': 'State', 'start_offset': 94, 'end_offset': 104}, {'text': 'California', 'type': 'State', 'start_offset': 249, 'end_offset': 259}]"
ID_1061496638135549952,RT @teachergirl00: Quick and easy way to donate to the Red Cross and help with disaster relief from the wildfires in California. .,"[{'text': 'California', 'type': 'State', 'start_offset': 117, 'end_offset': 127}]"
ID_1061647312232071168,23 dead in California and your president is blaming the fires while skipping an appearance for the WW1 centenary and blaming a light rain. The United States is led by the weakest leader its ever had. He’s disgraceful.,"[{'text': 'California', 'type': 'State', 'start_offset': 11, 'end_offset': 21}, {'text': 'The United States', 'type': 'Country', 'start_offset': 139, 'end_offset': 156}]"
ID_1062123483566653440,"Paradise lost, along with many other communities, as fires continue to ravage California. Authorities confirmed today that 31 people have died & 228 are still unaccounted for. Its unclear if Trump will approve the disaster relief requested by Gov Brown.","[{'text': 'Paradise', 'type': 'City/town', 'start_offset': 0, 'end_offset': 8}, {'text': 'California', 'type': 'State', 'start_offset': 78, 'end_offset': 88}]"
ID_1064660320453566464,Sierra Nevada asked breweries across the USA to brew a beer for fire relief.and Lancaster answered the call! These 13 Lancaster area breweries will be collaborating on a beer to help Camp Fire relief efforts. #PABeer Details:,"[{'text': 'Sierra Nevada', 'type': 'Natural Point-of-Interest', 'start_offset': 0, 'end_offset': 13}, {'text': 'USA', 'type': 'Country', 'start_offset': 41, 'end_offset': 44}]"
ID_1061669882742407168,RT @_Proud_American: Death Toll Climbs to 23 Amid Ongoing Horrific California Wildfires | The Last Refuge,"[{'text': 'California', 'type': 'State', 'start_offset': 67, 'end_offset': 77}]"
ID_1061441888954179585,"#WoolseyFire had impacted hundreds of thousands of people in Southern California, including destroying many buildings at @SantaMonicaMtns. While fighting the fire, a park ranger and his family lost everything. Well be sharing more updates as we get them","[{'text': 'California', 'type': 'State', 'start_offset': 70, 'end_offset': 80}]"
ID_1061705461806833664,"The charred remains of 14 more victims have been found in and around Paradise, California, raising the death toll from massive wildfire to 23 - Reuters","[{'text': 'California', 'type': 'State', 'start_offset': 79, 'end_offset': 89}]"
ID_1064358606009745411,"Please #donate to #animalrescue #Californiafores #CampFires. Pets, farm animals & wildlife are suffering terribly. Info on how and where here:",[]
ID_1064779715423158272,Thread. Please donate ὄ7,[]
ID_1064692518187646976,"If you’re affected by the California wildfires, #IRS is providing tax relief & helpful info.  #CampFire #WoolseyFire","[{'text': 'California', 'type': 'State', 'start_offset': 26, 'end_offset': 36}]"
ID_1064651400783683584,"Please go support this cause. Many people are homeless, hungry and need your help.",[]
ID_1061680085026058242,#UPDATE: 23 now confirmed dead as a result of the #CampFire. Stay updated on this quickly developing story here:,[]
ID_1065627756463943685,"Residents of Lincoln, California, will be cooking and serving meals to families living in shelters after losing their entire town to the raging wildfires.","[{'text': 'Lincoln', 'type': 'City/town', 'start_offset': 13, 'end_offset': 20}, {'text': 'California', 'type': 'State', 'start_offset': 22, 'end_offset': 32}]"
ID_1062646248547762177,"RT @TwitterMoments: Authorities confirmed the death toll from the #CampFire, California’s deadliest wildfire, has risen to 48.","[{'text': 'California', 'type': 'State', 'start_offset': 77, 'end_offset': 87}]"
ID_1061451652430004225,"The death toll from the Northern California wildfire has risen to 23 people, officials say.","[{'text': 'Northern California', 'type': 'State', 'start_offset': 24, 'end_offset': 43}]"
ID_1062996937459277824,New story on NPR: More Deaths Are Reported In California Fires,"[{'text': 'California', 'type': 'State', 'start_offset': 46, 'end_offset': 56}]"
ID_1064062666988081152,"#Trump Visits California Fires: 71 Dead, 1,000+ Missing: Environment News Service  #environment | More w/ Eco-Search:","[{'text': 'California', 'type': 'State', 'start_offset': 14, 'end_offset': 24}]"
ID_1061496784910979072,RT @jdelreal: At least 25 people have died in California as devastating wildfires continue to rage on both ends of the state. /,"[{'text': 'California', 'type': 'State', 'start_offset': 46, 'end_offset': 56}]"
ID_1064396847286894593,"If you want to help the fire victims from Butte County in #California, here are donation links and information. It’s going to take a lot to get people back on their feet and in housing #CampFire","[{'text': 'Butte County', 'type': 'County', 'start_offset': 42, 'end_offset': 54}, {'text': 'California', 'type': 'State', 'start_offset': 59, 'end_offset': 69}]"
ID_1062236531476348928,At least 44 people are now known to have died in Californias deadliest wildfires on record #HeartNews,"[{'text': 'Californias', 'type': 'State', 'start_offset': 49, 'end_offset': 60}]"
ID_1064693647126355969,"@JuddLegum @Walmart Another thing about Wal-Mart. What about that Wal-Mart in California giving the fire survivors who now live in tents, a deadline to leave. Shame on them. Never shop there.","[{'text': 'California', 'type': 'State', 'start_offset': 78, 'end_offset': 88}]"
ID_1061700756103880704,Death toll jumps to 25 in California wildfires; 57000 buildings threatened,"[{'text': 'California', 'type': 'State', 'start_offset': 26, 'end_offset': 36}]"
ID_1061369207491723264,@CoraCarmack I hate him so much. I’m okay but not far from the Camp fire (hourish away) and it completely destroyed paradise.,[]
ID_1066727142820651008,@Alyssa_Milano We have our own citizens that need help! Fires in California were devastating! So NO!,"[{'text': 'California', 'type': 'State', 'start_offset': 65, 'end_offset': 75}]"
ID_1064948739335311360,Want to help? #MarinCounty,[]
ID_1065980622319964160,"@thespybrief @MelissaJPeltier @MollyJongFast Camp fire update. Fire getting blasted today with rain. So it’s done spreading. We could see 100 dead. 14,000 homes destroyed. . 750 businesses. I can’t wrap my mind around 14,000 homes.",[]
ID_1061704725203247105,"The Camp Fire has destroyed more than 6,700 buildings in Northern Califo  via @YouTube","[{'text': 'Northern Califo', 'type': 'District', 'start_offset': 57, 'end_offset': 72}]"
ID_1064359301068849155,"The Cal Water & Utility Workers Union of America Camp Fire Relief Fund is now open at . The fund is to support organizations assisting families who lost their homes in the Camp Fire, including those that can assist affected Cal Wa","[{'text': 'Cal', 'type': 'State', 'start_offset': 224, 'end_offset': 227}]"
ID_1065400135151247360,"Nov. 21, 2018 Authorities face challenge to identify victims of Camp Fire Human remains from the devastating fire that destroyed Paradise, California are transported by refrigerated trucks to the Sacramento Countys coroner lab.","[{'text': 'Paradise', 'type': 'City/town', 'start_offset': 129, 'end_offset': 137}, {'text': 'California', 'type': 'State', 'start_offset': 139, 'end_offset': 149}, {'text': 'Sacramento', 'type': 'City/town', 'start_offset': 196, 'end_offset': 206}]"
ID_1066733967821467650,"Death Toll from California’s Deadliest Fire Ever Hits 87 - - The Western Journal California’s deadliest fire in state history has killed at least 87 people and destroyed nearly 14,000 homes, The Sacramento Bee reports. The Camp Fire has covered arou","[{'text': 'California', 'type': 'State', 'start_offset': 16, 'end_offset': 26}, {'text': 'California', 'type': 'State', 'start_offset': 81, 'end_offset': 91}]"
ID_1062229789883461637,"RT @colincampbell: PARADISE, Calif. (AP) -- The death toll has reached 42 in the Northern California wildfire, making it the deadliest in s","[{'text': 'California', 'type': 'State', 'start_offset': 90, 'end_offset': 100}]"
ID_1064945341781422080,U.S. Department of Labor Announces Assistance for California Wildfires Recovery,"[{'text': 'California', 'type': 'State', 'start_offset': 50, 'end_offset': 60}]"
ID_1063025646077652992,Death Toll In #California #Wildfires Rises To 56 After Popular Retiree Town Is Totally Destroyed,"[{'text': 'California', 'type': 'State', 'start_offset': 15, 'end_offset': 25}]"
ID_1065277075228000256,RT @GivingMarin: @MarinHumane is helping w/animal rescue in Butte County. @marinij @adrianrrodri,"[{'text': 'Butte County', 'type': 'County', 'start_offset': 60, 'end_offset': 72}]"
ID_1064740650380288001,"Three days until Thanksgiving, and if you want to help victims of the California fires who are not as blessed, please do. Reader discretion is advised for this story:","[{'text': 'California', 'type': 'State', 'start_offset': 70, 'end_offset': 80}]"
ID_1064557722803339264,RT @todayng: Victims mourned as toll hits 77 in California wildfire,"[{'text': 'California', 'type': 'State', 'start_offset': 48, 'end_offset': 58}]"
ID_1065325937992986624,"The fires continue to burn throughout California, and many are seeking shelter as well as supplies. If you would like to donate, the link below has a few options.ὤF We are continuing to pray and","[{'text': 'California', 'type': 'State', 'start_offset': 38, 'end_offset': 48}]"
ID_1066054638640672768,"@DannyIsEnvy PLEASE, PLEASE, PLEASE RETWEET! My friend desperately needs help! I recently found out that her brother and his family lost EVERYTHING in the CAMP FIRE! She will be sharing half of her donations with him. PLEASE, EVERY DOLLAR COUNTS!",[]
ID_1063273095820001280,join the club #displaced,[]
ID_1065284346527997952,RT @ABC7: California has spent more than $600 million fighting wildfires since June,"[{'text': 'California', 'type': 'State', 'start_offset': 10, 'end_offset': 20}]"
ID_1065284266228015106,RT @TinaFra80898810: REPORT: Death toll increases in NorCals,[]
ID_1062051934826246144,"Death toll hits 31, hundreds missing in record-breaking California wildfires - NBC News ὢ2Praying for you California ❤️ Thank you firefighters ! Our daughter attending college in Cali is 60 miles from the fires ᾒ6ἿB‍♀️ὤF","[{'text': 'California', 'type': 'State', 'start_offset': 56, 'end_offset': 66}, {'text': 'California', 'type': 'State', 'start_offset': 106, 'end_offset': 116}, {'text': 'Cali', 'type': 'State', 'start_offset': 179, 'end_offset': 183}]"
ID_1066083736184344578,"This holiday season, were asking for you to give back! ὤF Help us in donating to those affected by the California wildfires.","[{'text': 'California', 'type': 'State', 'start_offset': 103, 'end_offset': 113}]"
ID_1065517281336283136,"Jordan Rodgers Slams Brother Aaron for Not Reaching Out to Parents During California Wildfires Aaron donated $1 million toward wildfire relief on Wednesday, but his brother is accusing him of not making sure their parents were OK. [[ This is a content s","[{'text': 'California', 'type': 'State', 'start_offset': 74, 'end_offset': 84}]"
ID_1062071708725571585,"If anyone in Lodi would like to make donations to help those who have been affected by the camp fire please let me know! i’ll be in town for a couple days later this week and want to bring back as much as I can, anything would help and would be greatly appreciated! thank you! ὉB","[{'text': 'Lodi', 'type': 'City/town', 'start_offset': 13, 'end_offset': 17}]"
ID_1065320261820526592,RT @MReeseAuthor: Helping families affected by the California fires.,"[{'text': 'California', 'type': 'State', 'start_offset': 51, 'end_offset': 61}]"
ID_1064452425296179201,@realDonaldTrump Please get hotels rooms for the fire victims in california evacuation centers can only be temp and they have already been at them or in tents for days #CampFire,"[{'text': 'california', 'type': 'State', 'start_offset': 65, 'end_offset': 75}]"
ID_1064937091451121664,"Starved for answers from authorities, those with family missing still days after #CampFire erupted have become their own investigators. Theyre gathering clues from social media, other families and in-person visits to shelters.",[]
ID_1064255950956187654,"Eight days into the search, the death toll is 76 and rising. Hundreds remain missing; some 50,000 residents are displaced, scattered to relatives’ spare rooms, motels and a Walmart parking lot",[]
ID_1061180610415419393,Apple’s Tim Cook promises donations for latest California wildfires,"[{'text': 'California', 'type': 'State', 'start_offset': 47, 'end_offset': 57}]"
ID_1066020317422862336,North Texas Firefighters Welcomed Home After Battling Deadly California Wildfires #dallas #texas #bhivelabs #bhive #bhivechat #bhivenectar,"[{'text': 'Texas', 'type': 'State', 'start_offset': 6, 'end_offset': 11}, {'text': 'California', 'type': 'State', 'start_offset': 61, 'end_offset': 71}, {'text': 'dallas', 'type': 'City/town', 'start_offset': 83, 'end_offset': 89}, {'text': 'texas', 'type': 'State', 'start_offset': 91, 'end_offset': 96}]"
ID_1061380992764538880,"people have lost their homes, heck, their entire towns AND lives and your president has the audacity to come for and threaten forest management?! have you ever heard of global warming& climate change? where’s the fucken empathy? shame on you for calling yourself a leader.",[]
ID_1062172809567199233,"#BREAKING: Death toll from Northern Californias #CampFire is now at 42, making it the deadliest wildfire in U.S. history, per Butte County Sheriffs Office.","[{'text': 'Northern Californias', 'type': 'State', 'start_offset': 27, 'end_offset': 47}, {'text': 'U.S.', 'type': 'Country', 'start_offset': 108, 'end_offset': 112}, {'text': 'Butte County', 'type': 'County', 'start_offset': 126, 'end_offset': 138}]"
ID_1061143131834335232,I hope everyone and California is safe and prepared if they have to evacuate the fires are getting closer and closer to our house therefore we might have to evacuate as well,"[{'text': 'California', 'type': 'State', 'start_offset': 20, 'end_offset': 30}]"
ID_1061292517658947584,At least 9 people have died so far yet here he is spewing his usual trash.,[]
ID_1065266259325906946,RT @thomasfullerNYT: Here’s How to Check and Help Update the List of Those Missing After California’s Camp Fire,"[{'text': 'California', 'type': 'State', 'start_offset': 89, 'end_offset': 99}]"
ID_1065064605117022209,Interior Secretary Ryan Zinke blamed radical environmentalists” Tuesday for blocking federal forest-management efforts and causing dangerous conditions that lead to deadly wildfires such as the blaze that killed dozens last week in northern California.,"[{'text': 'California', 'type': 'State', 'start_offset': 241, 'end_offset': 251}]"
ID_1065338918021865473,Vacaville businesses partnering to fill trailer of toys for Camp Fire victims,[]
ID_1065236842784714754,"As #California homeowners try to rebuild from the ashes, an uncertain home insurance market awaits: We’re slowly marching toward a world that’s uninsurable.” ⁦@marywalshnyt⁩ @sejorg #wildfires #climatechange","[{'text': 'California', 'type': 'State', 'start_offset': 4, 'end_offset': 14}]"
ID_1065755424690003968,Israeli Aid Group Sends Rescue Team to California Fires,"[{'text': 'California', 'type': 'State', 'start_offset': 39, 'end_offset': 49}]"
ID_1067543637049790464,"Currently, over 50% of the U.S. Forest Service budget is spent fighting fires. That’s why were supporting @nationalforests with a donation that will help plant 20,000 trees, including in areas affected by the recent California wildfires. ὏7: @dirka #weareallbirds","[{'text': 'California', 'type': 'State', 'start_offset': 216, 'end_offset': 226}]"
ID_1062384811040563200,Another day of grim discoveries as death toll rises to 42 in Camp fire,[]
ID_1066004907944116225,RT @OANN: Camp Fire death toll rises to 84 people -  #OANN,[]
ID_1064144261204115456,RT @NazaninBoniadi: #SanFrancisco is in dire straits. Here are ways to help victims of the Camp Fire in Butte County,"[{'text': 'SanFrancisco', 'type': 'City/town', 'start_offset': 21, 'end_offset': 33}, {'text': 'Butte County', 'type': 'County', 'start_offset': 104, 'end_offset': 116}]"
ID_1064390235793104896,RT @rebelbabe61: PLEASE HELP OUR AMERICAN FIRE VICTIMS IMMEDIATELY @fema @realDonaldTrump @JerryBrownGov,[]
ID_1066405833712427008,✔️Moonbeam Governor should be JAILED for vetoing bill to cut down dead trees‼️ Lots of CA citizens died!That is a FELONY. #FireAndBlood #firefighters #FireSafety #fires #MoonbeamGovernor @WhiteHouse @realDonaldTrump @IngrahamAngle @AnnCoulter @LouDobbs @DailyCaller @TuckerCarlson,"[{'text': 'CA', 'type': 'State', 'start_offset': 87, 'end_offset': 89}]"
ID_1064371410578083841,Saw this alert in time to update our story just nowthe death toll is now at 77 in the horrific Northern #California #CampFire. Its difficult for us to truly appreciate the scale of this disaster. The stories of heroism and heartache are incredible,"[{'text': 'California', 'type': 'State', 'start_offset': 105, 'end_offset': 115}]"
ID_1069688855941369856,"Roughly 50,000 displaced by the #campfire",[]
ID_1062460793868951555,"California Camp Fire Deadliest, Most Destructive In CA History, Death Toll Hits 42","[{'text': 'California', 'type': 'State', 'start_offset': 0, 'end_offset': 10}, {'text': 'CA', 'type': 'State', 'start_offset': 52, 'end_offset': 54}]"
ID_1065268260940189697,"You all have heroes for dads and moms.” Watch @alroker, his cooking crew and @nmoralesnbc surprise some California firefighters, who have been working tirelessly to fight the raging wildfires despite suffering their own losses.","[{'text': 'California', 'type': 'State', 'start_offset': 104, 'end_offset': 114}]"
ID_1070185478358425600,"@Anon_decoder AWAKENING truthers 50,000 DEAD in California FIRES? NO LONGER doing, Body Counts because they DO NOT want to report this, MISSING (social media) ACCOUNTS Quit playing GAMES, reporting the TRUTH to the American people, start demanding ANSWERS,","[{'text': 'California', 'type': 'State', 'start_offset': 48, 'end_offset': 58}]"
ID_1061707875582656513,"Gov. Jerry Brown has requested a Presidential Major Disaster Declaration, citing the devastating fires burning in Northern and Southern California. At least 24 people have died and more than 6,000 structures have been lost in the Camp and Woolsey fires:","[{'text': 'California', 'type': 'State', 'start_offset': 136, 'end_offset': 146}]"
ID_1064396892929441792,@realDonaldTrump Arent you the same person who called it Pleasure California twice while in Paradise California visiting where the wildfires have killed over 70 people?,"[{'text': 'California', 'type': 'State', 'start_offset': 66, 'end_offset': 76}, {'text': 'California', 'type': 'State', 'start_offset': 101, 'end_offset': 111}]"
ID_1065272634508623875,"Chico native Aaron Rodgers donating $1M toward recovery/rebuild from the destructive Camp Fire. Meanwhile, State Farm will donate $1 for every RT of Rodgers post. You know what to do","[{'text': 'Meanwhile', 'type': 'State', 'start_offset': 96, 'end_offset': 105}]"
ID_1065698723693453313,RT @Oregonian: Sierra Nevadas Resilience beer to support Camp Fire relief efforts,"[{'text': 'Sierra Nevadas', 'type': 'Natural Point-of-Interest', 'start_offset': 15, 'end_offset': 29}]"
ID_1063420171707142145,"RT @WFLA: SAD UPDATE: 631 missing after North California #wildfires, death toll hits 63.","[{'text': 'California', 'type': 'State', 'start_offset': 46, 'end_offset': 56}]"
ID_1065340343611084800,"Camp Fire Critter Victims Rescued By Dublin, Oakland Shelters","[{'text': 'Dublin', 'type': 'City/town', 'start_offset': 37, 'end_offset': 43}, {'text': 'Oakland', 'type': 'City/town', 'start_offset': 45, 'end_offset': 52}]"
ID_1065603615669264389,RT @FrancesSSellers: Camp Fire: Satellite images and ground-level data show where buildings burned.,[]
ID_1064663375601442821,Customers can support communities impacted by the California wildfires by donating to @RedCross and @FeedingAmerica through Wish Lists and Amazon Pay:,"[{'text': 'California', 'type': 'State', 'start_offset': 50, 'end_offset': 60}]"
ID_1063067387656757248,"Notice how the Trump-billshit-broadcasts all died exactly when the fires started? Mueller catches Trump ordering Arson in California, with 50 deaths already It aint dirty politics anymore, and Muellers men carry guns, and my guess is that theyd be looking for an excuse","[{'text': 'California', 'type': 'State', 'start_offset': 122, 'end_offset': 132}]"
ID_1063079081946869761,People displaced by Camp Fire make temporary homes in Walmart parking lot,"[{'text': 'Walmart', 'type': 'Human-made Point-of-Interest', 'start_offset': 54, 'end_offset': 61}]"
ID_1065345389505724416,"Such a sweet light during this time of sorrow in California. If youre looking to donate to rescue teams that are aiding animals during these California fires, check out North Valley Animal Disaster Group.","[{'text': 'California', 'type': 'State', 'start_offset': 49, 'end_offset': 59}, {'text': 'California', 'type': 'State', 'start_offset': 141, 'end_offset': 151}]"
ID_1061262933295054848,"@realDonaldTrump My hometown is near the Camp Fire. Many are frantically searching for missing loved ones. A town is destroyed, and THIS is what you have to say? This while brave heroes risk their lives to save people and pets! Our President has zero humanity. Zero!",[]
ID_1063117821247475712,RT @KMcMays: Death toll 56 and WILL RISE! #SoCalFiresJamesWoods #CampFireJamesWoods,[]
ID_1061659263758565376,"Photos show devastating wildfires on both ends of California, as fatigued firefighters work to evacuate residents in harm’s way.","[{'text': 'California', 'type': 'State', 'start_offset': 50, 'end_offset': 60}]"
ID_1062951992472018944,"Iranian Foreign Ministry Spokesman Bahram Ghasemi has expressed deep regret over the devastating wildfires in the US state of California, which have killed dozens of people so far. In his Thursday statement, Ghasemi also offered sympathy to the American nation and the bereaved","[{'text': 'US', 'type': 'Country', 'start_offset': 114, 'end_offset': 116}, {'text': 'California', 'type': 'State', 'start_offset': 126, 'end_offset': 136}, {'text': 'American', 'type': 'Continent', 'start_offset': 245, 'end_offset': 253}]"
ID_1061271288260497409,"At least nine people are dead, tens of thousands more are out of their homes which will likely burn to the ground, 90k+ acres of land is charred and the thousands of homes that stood there are piles of rubble. Yet, the POTUS highlights forest management policy? Incredible.",[]
ID_1061360261305520128,Set for ‘Westworld’ and Other Shows Destroyed in California Fire,"[{'text': 'California', 'type': 'State', 'start_offset': 49, 'end_offset': 59}]"
